symbol,price,quantity,side,bid_inclusive_of_sell_spread,sell_spread,timestamp
DOGE-USD,0.41522564,1,bid,0.41279368,0.00585696,2024-12-09T19:55:47.610039125-05:00
DOGE-USD,0.41607324,1,bid,0.41373026,0.00563117,2024-12-09T19:56:47.778731204-05:00
DOGE-USD,0.41597279,1,bid,0.41356933,0.00577793,2024-12-09T19:57:47.964662398-05:00
DOGE-USD,0.41888047,1,bid,0.41635945,0.00601847,2024-12-09T19:58:48.153568444-05:00
DOGE-USD,0.41972241,1,bid,0.41733042,0.00569898,2024-12-09T19:59:48.324763823-05:00
DOGE-USD,0.41871477,1,bid,0.4162124,0.00597631,2024-12-09T20:00:48.479527522-05:00
DOGE-USD,0.41801251,1,bid,0.41558007,0.00581906,2024-12-09T20:01:48.636556079-05:00
DOGE-USD,0.41780514,1,bid,0.415407,0.00573985,2024-12-09T20:02:48.81461718-05:00
DOGE-USD,0.4178759,1,bid,0.41538511,0.0059606,2024-12-09T20:03:48.985734176-05:00
DOGE-USD,0.418354675,1,bid,0.41593809,0.0057764,2024-12-09T20:04:49.187965939-05:00
DOGE-USD,0.419254855,1,bid,0.41684311,0.00575246,2024-12-09T20:05:49.399907247-05:00
DOGE-USD,0.41973361,1,bid,0.41725568,0.00590358,2024-12-09T20:06:49.552002932-05:00
DOGE-USD,0.41804814,1,bid,0.41557604,0.00591343,2024-12-09T20:07:49.734271019-05:00
DOGE-USD,0.416908565,1,bid,0.41450599,0.00576283,2024-12-09T20:08:49.957641659-05:00
DOGE-USD,0.418021925,1,bid,0.4156099,0.00577009,2024-12-09T20:09:50.102999094-05:00
DOGE-USD,0.41761051,1,bid,0.41517035,0.00584315,2024-12-09T20:10:50.326210812-05:00
DOGE-USD,0.4166326,1,bid,0.41422565,0.00577715,2024-12-09T20:11:50.509851552-05:00
DOGE-USD,0.41538934,1,bid,0.41303058,0.00567843,2024-12-09T20:12:50.687451441-05:00
DOGE-USD,0.4152343,1,bid,0.4127902,0.00588607,2024-12-09T20:13:50.833260024-05:00
DOGE-USD,0.4146353,1,bid,0.41226832,0.00570858,2024-12-09T20:14:51.024355568-05:00
DOGE-USD,0.41500452,1,bid,0.41263285,0.00571481,2024-12-09T20:15:51.205545548-05:00
DOGE-USD,0.415818965,1,bid,0.41368053,0.00514271,2024-12-09T20:16:51.455511932-05:00
DOGE-USD,0.414590635,1,bid,0.41245727,0.00514571,2024-12-09T20:17:51.661004675-05:00
DOGE-USD,0.412498935,1,bid,0.41029917,0.00533278,2024-12-09T20:18:51.872030864-05:00
DOGE-USD,0.41068157,1,bid,0.40848784,0.00534168,2024-12-09T20:19:52.118119198-05:00
DOGE-USD,0.4126453,1,bid,0.4104354,0.00535545,2024-12-09T20:20:52.338676559-05:00
DOGE-USD,0.41257579,1,bid,0.41027928,0.00556627,2024-12-09T20:21:52.526399073-05:00
DOGE-USD,0.412668535,1,bid,0.41033447,0.00565603,2024-12-09T20:22:52.765146323-05:00
DOGE-USD,0.410863545,1,bid,0.40858859,0.00553701,2024-12-09T20:23:52.946350146-05:00
DOGE-USD,0.409945405,1,bid,0.40761031,0.00569611,2024-12-09T20:24:53.163007393-05:00
DOGE-USD,0.410422825,1,bid,0.40805385,0.00577204,2024-12-09T20:25:53.333958629-05:00
DOGE-USD,0.41067958,1,bid,0.40830136,0.00579094,2024-12-09T20:26:53.524212057-05:00
DOGE-USD,0.410895685,1,bid,0.40855745,0.00569058,2024-12-09T20:27:53.680993209-05:00
DOGE-USD,0.410599815,1,bid,0.40822543,0.00578272,2024-12-09T20:28:53.887703835-05:00
DOGE-USD,0.410231185,1,bid,0.40793097,0.00560712,2024-12-09T20:29:54.072979113-05:00
DOGE-USD,0.410730645,1,bid,0.40839834,0.00567843,2024-12-09T20:30:54.321647741-05:00
DOGE-USD,0.407920645,1,bid,0.40556119,0.0057841,2024-12-09T20:31:54.519048698-05:00
DOGE-USD,0.407929895,1,bid,0.40548799,0.00598609,2024-12-09T20:32:54.735429099-05:00
DOGE-USD,0.407495255,1,bid,0.40514626,0.00576447,2024-12-09T20:33:54.948266219-05:00
DOGE-USD,0.40700591,1,bid,0.40466742,0.00574559,2024-12-09T20:34:55.149132533-05:00
DOGE-USD,0.40634151,1,bid,0.40406181,0.00561031,2024-12-09T20:35:55.34252106-05:00
DOGE-USD,0.40737339,1,bid,0.40498557,0.0058615,2024-12-09T20:36:55.553450686-05:00
DOGE-USD,0.40724975,1,bid,0.40493682,0.00567939,2024-12-09T20:37:55.810254107-05:00
DOGE-USD,0.40700147,1,bid,0.40468636,0.00568821,2024-12-09T20:38:56.210706132-05:00
DOGE-USD,0.4057779,1,bid,0.4036442,0.0052583,2024-12-09T20:39:56.411090663-05:00
DOGE-USD,0.40683764,1,bid,0.40461158,0.00547162,2024-12-09T20:40:56.598842331-05:00
DOGE-USD,0.406487585,1,bid,0.40421008,0.00560289,2024-12-09T20:41:56.776105559-05:00
DOGE-USD,0.407344745,1,bid,0.40510777,0.0054916,2024-12-09T20:42:56.971892048-05:00
